signal,length
SE13,16.9509
SE15,14.6242
SE17,15.5893
SE19,17.7568
SE21,13.2224
SE23,18.6075
SE25,19.7956
SE27,21.1006
SE29,25.0338
SE31,20.6867
SE33,23.4246
SE35,23.2614
SE37,23.5950
SE39,20.4692
SE41,16.9153
SE43,14.2253

start,end,som_length,total_before_matching
SE13,SE43,16.9509+14.2253=31.1762,+128.1802=159.3564,
SE15,SE41,14.6242+16.9153=31.5395,
SE17,SE39,15.5893+20.4692=36.0585,
SE19,SE37,17.7568+23.5950=41.3518,
SE21,SE35,13.2224+23.2614=36.4838,
SE23,SE33,18.6075+23.4246=42.0321,
SE25,SE31,19.7956+20.6867=40.4823,
SE27,SE29,21.1006+25.0338=46.1344,
SE29,SE27,25.0338+21.1006=46.1344,
SE31,SE25,20.6867+19.7956=40.4823,
SE33,SE23,23.4246+18.6075=42.0321,
SE35,SE21,23.2614+13.2224=36.4838,
SE37,SE19,23.5950+17.7568=41.3518,
SE39,SE17,20.4692+15.5893=36.0585,
SE41,SE15,16.9153+14.6242=31.5395,
SE43,SE13,14.2253+16.9509=31.1762,

The longest is SE13 to SE43. Signals shall be matched to 159.3564

start,end,target_length
SE13,SE43,N/A
SE15,SE41,159.3564-31.5395=127.8169,
SE17,SE39,159.3564-36.0585=123.2979,
SE19,SE37,159.3564-41.3518=118.0046,
SE21,SE35,159.3564-36.4838=122.8726,
SE23,SE33,159.3564-42.0321=117.3243,
SE25,SE31,159.3564-40.4823=118.8741,
SE27,SE29,159.3564-46.1344=113.2220,
SE29,SE27,159.3564-46.1344=113.2220,
SE31,SE25,159.3564-40.4823=118.8741,
SE33,SE23,159.3564-42.0321=117.3243,
SE35,SE21,159.3564-36.4838=122.8726,
SE37,SE19,159.3564-41.3518=118.0046,
SE39,SE17,159.3564-36.0585=123.2979,
SE41,SE15,159.3564-31.5395=127.8169,
SE43,SE13,159.3564-31.1762=128.1802,

